"Comment","Designator","Footprint","LCSC Part #"
"10uf 402","C1","C_0402_1005Metric","no_part_number"
"22pf 0402","C2,C19","C_0402_1005Metric","no_part_number"
"1uf 0201","C3,C10","C_0201_0603Metric","no_part_number"
"10uf 0402","C4,C17","C_0402_1005Metric","no_part_number"
"100nf 0201","C5,C6,C7,C8,C11,C13,C14,C15,C16,C18","C_0201_0603Metric","no_part_number"
"10uf 0402","CBP1","C_0402_1005Metric","no_part_number"
"D","D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63,D_64,D_65,D_66,D_67,D_68,D_69,D_70,D_71,D_72,D_73,D_74,D_75,D_76,D_77,D_78,D_79,D_80,D_81,D_82,D_83,D_84,D_85,D_86,D_87","D_SOD-123","no_part_number"
"0805L050WR","F1","Fuse_0805_2012Metric","no_part_number"
"W25Q16JVSSIQ","FLASH1","SOIC-8_5.23x5.23mm_P1.27mm","no_part_number"
"LED_0402","GPIO24_LED1","LED_0402_1005Metric","no_part_number"
"470 0402 Resistor","GPIO24_RESISTOR1","R_0402_1005Metric","no_part_number"
"LED_0402","GPIO25_LED1","LED_0402_1005Metric","no_part_number"
"470 0402 Resistor","GPIO25_RESISTOR1","R_0402_1005Metric","no_part_number"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole_2.5mm_Pad","no_part_number"
"SKRKAEE020","J2","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"Conn_01x03_Male","J5","TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","no_part_number"
"KEYSW","K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60,K_61,K_62,K_63,K_64,K_65,K_66,K_67,K_68,K_69,K_70,K_71,K_72,K_73,K_74,K_75,K_76,K_77,K_78,K_79,K_80,K_81,K_82,K_83,K_84,K_85,K_86,K_87","SW_Kailh_Choc_V2","no_part_number"
"NetTie_2","NT1","NetTie-2_SMD_Pad0.5mm","no_part_number"
"Si2329DS","Q1","SOT-23","no_part_number"
"1K 0201","R1,R11","R_0201_0603Metric","no_part_number"
"10K 0402","R2","R_0402_1005Metric","no_part_number"
"27 0402 Resistor","R3,R4","R_0402_1005Metric","no_part_number"
"5.1K 0402","R5,R6","R_0402_1005Metric","no_part_number"
"100K 0402 resistor","R7","R_0402_1005Metric","no_part_number"
"200 0603","R9","R_0603_1608Metric","no_part_number"
"1 0402","R10","R_0402_1005Metric","no_part_number"
"SKRKAEE020","RSW1","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"MountingHole_Pad","Stab1,Stab2,Stab3","Stabilizer_Cherry_MX_2u","no_part_number"
"MountingHole_Pad","Stab4","Stabilizer_Cherry_MX_6.25u","no_part_number"
"TLV75533PDBVR","U1","SOT-23-5","no_part_number"
"RP2040","U3","RP2040-QFN-56","C2040"
"TYPE-C-31-M-12","USB1","HRO-TYPE-C-31-M-12","C165948"
"3225_4P","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","no_part_number"
